#frame_time_stamp time_proc time_total
17.702520 0.015762 0.015957
17.806640 0.016105 0.016300
17.910650 0.015739 0.015939
18.014770 0.014794 0.014995
18.118900 0.015118 0.015337
18.223020 0.019318 0.019666
18.327020 0.013904 0.014196
18.431150 0.016048 0.016270
18.535360 0.017231 0.017455
18.639420 0.016325 0.016833
18.743480 0.015212 0.015572
18.847540 0.014711 0.014935
18.951650 0.020233 0.020475
19.055650 0.019013 0.019231
19.159650 0.022351 0.022850
19.263770 0.018521 0.018744
19.367870 0.016823 0.017028
19.471780 0.016665 0.016898
19.575900 0.014784 0.014981
19.679910 0.015972 0.016202
19.784020 0.015190 0.015397
19.888070 0.014384 0.014590
19.992130 0.016997 0.017313
20.096150 0.014921 0.015167
20.200150 0.014917 0.015147
20.304270 0.015183 0.015432
20.408270 0.014005 0.014239
20.512310 0.015527 0.015731
20.616400 0.013727 0.013991
20.720420 0.018403 0.018708
20.824520 0.016147 0.016425
20.928690 0.018866 0.019075
21.032780 0.016578 0.016815
21.136780 0.013833 0.014030
21.240880 0.013569 0.013822
21.344920 0.012347 0.012577
21.448900 0.016680 0.016953
21.552900 0.015502 0.015706
21.657020 0.015038 0.015227
21.761020 0.014697 0.014904
21.865030 0.015554 0.015758
21.969150 0.015837 0.016066
22.073170 0.019459 0.019715
22.177150 0.017186 0.017401
22.281150 0.017671 0.017903
22.385270 0.018146 0.018356
22.489270 0.019307 0.019521
22.593280 0.020683 0.020895
22.697420 0.019758 0.019961
22.801400 0.019688 0.019897
22.905400 0.018297 0.018485
23.009400 0.016615 0.016838
23.113490 0.018303 0.018503
23.217420 0.017692 0.017879
23.321400 0.014930 0.015324
23.425400 0.013322 0.013541
23.529550 0.014320 0.014615
23.633550 0.016834 0.017145
23.737530 0.010885 0.011077
23.841660 0.015537 0.015768
23.945650 0.014345 0.014814
24.049650 0.010942 0.011235
24.153670 0.015986 0.016245
24.257780 0.014255 0.014511
24.361780 0.014361 0.014594
24.465780 0.011967 0.012190
24.569780 0.014562 0.014800
24.673900 0.014954 0.015171
24.777900 0.016354 0.016619
24.882030 0.019808 0.020047
24.986020 0.019426 0.019645
25.090170 0.017531 0.017751
25.194150 0.015381 0.015609
25.298280 0.012847 0.013056
25.402400 0.025090 0.025822
25.506530 0.019658 0.019923
25.610540 0.016550 0.016760
25.714650 0.013874 0.014104
25.818650 0.015556 0.015842
25.922780 0.016243 0.016459
26.026980 0.015320 0.015548
26.130900 0.017988 0.018261
26.235050 0.022989 0.023223
26.339150 0.018335 0.018564
26.443290 0.015270 0.015496
26.547800 0.015454 0.015707
26.651410 0.015264 0.015486
26.757930 0.017688 0.018038
26.862580 0.015209 0.015599
26.963660 0.017198 0.017542
27.067820 0.014021 0.014343
27.171920 0.014696 0.015049
27.276060 0.014380 0.014771
27.380140 0.013026 0.013412
27.484700 0.018015 0.018408
27.588410 0.016927 0.017262
27.692530 0.014485 0.014818
27.796540 0.013399 0.013719
27.900670 0.013682 0.014086
28.005230 0.016443 0.016772
28.108940 0.016191 0.016583
