#frame_time_stamp time_proc time_total
0.104128 0.022947 0.023074
0.208254 0.029934 0.030032
0.312504 0.024807 0.024899
0.416625 0.022772 0.022863
0.520755 0.019680 0.019771
0.625004 0.014611 0.014700
0.729128 0.016680 0.016761
0.833252 0.010897 0.010924
0.937506 0.015458 0.015487
1.041630 0.011812 0.011852
1.145875 0.013093 0.013161
1.250003 0.013567 0.013630
1.354255 0.013058 0.013101
1.458401 0.014284 0.014333
1.562526 0.012004 0.012068
1.666754 0.014486 0.014570
1.771007 0.013045 0.013100
1.875129 0.013647 0.013707
1.979377 0.014017 0.014078
2.083502 0.013804 0.013884
2.187759 0.015477 0.015572
2.291881 0.013309 0.013377
2.396132 0.013639 0.013718
2.500257 0.014203 0.014296
2.604383 0.013241 0.013324
2.708628 0.017441 0.017515
2.812757 0.014692 0.014772
2.916881 0.013079 0.013175
3.021006 0.013788 0.013888
3.125256 0.014807 0.014939
3.229379 0.013745 0.013822
3.333502 0.012330 0.012439
3.437629 0.014160 0.014276
3.541754 0.012987 0.013102
3.645880 0.014928 0.015047
3.750007 0.013878 0.013982
3.854131 0.013000 0.013101
3.958276 0.016726 0.016818
4.062383 0.015027 0.015141
4.166506 0.013191 0.013327
4.270633 0.014902 0.015036
4.374756 0.014295 0.014414
4.478884 0.014475 0.014592
4.583132 0.016047 0.016187
4.687259 0.016429 0.016555
4.791384 0.014340 0.014474
4.895505 0.013817 0.013983
4.999630 0.016309 0.016444
5.103758 0.013657 0.013795
5.207869 0.015160 0.015314
5.311998 0.013169 0.013327
5.416245 0.017333 0.017469
5.520244 0.014988 0.015151
5.624505 0.014623 0.014792
5.728633 0.015005 0.015183
5.832639 0.013130 0.013296
5.936757 0.014439 0.014648
6.040889 0.016079 0.016286
6.145012 0.013889 0.014069
6.249010 0.014110 0.014325
6.353135 0.014557 0.014783
6.457260 0.012774 0.012951
6.561386 0.015032 0.015315
6.665511 0.014918 0.015430
6.769636 0.013027 0.013269
6.873636 0.015622 0.015863
6.977759 0.014604 0.014785
7.081885 0.012960 0.013213
7.186013 0.015677 0.015971
7.290011 0.013956 0.014150
7.394135 0.014034 0.014266
7.498256 0.014999 0.015257
7.602386 0.014564 0.014875
7.706383 0.013300 0.013571
7.810511 0.016050 0.016313
7.914632 0.014401 0.014625
8.018763 0.016821 0.017046
8.122760 0.014265 0.014486
8.226883 0.017291 0.017506
8.331011 0.014320 0.014567
8.435138 0.013869 0.014119
8.539282 0.016165 0.016456
8.643387 0.014576 0.014791
8.747509 0.014369 0.014674
8.851635 0.015746 0.015988
8.955763 0.014307 0.014548
9.059886 0.014044 0.014268
9.164012 0.015568 0.015866
9.268135 0.016355 0.016612
9.372259 0.016072 0.016312
9.476392 0.014527 0.014731
9.580513 0.014590 0.014805
9.684640 0.015333 0.015551
9.788784 0.013538 0.013759
9.892888 0.016440 0.016677
9.997010 0.013872 0.014086
10.101140 0.017094 0.017290
10.205260 0.015603 0.015835
10.309390 0.015470 0.015737
10.413390 0.015050 0.015305
10.517510 0.014758 0.015014
10.621640 0.014688 0.014928
10.725760 0.015380 0.015624
10.829890 0.016450 0.016655
10.934020 0.015781 0.015978
11.038140 0.015222 0.015411
11.142270 0.016497 0.016693
11.246390 0.016740 0.016919
11.350520 0.017464 0.017661
11.454640 0.016035 0.016222
11.558780 0.016842 0.017039
11.663020 0.015781 0.015976
11.767160 0.016171 0.016368
11.871260 0.017224 0.017409
11.975390 0.016939 0.017127
12.079640 0.016894 0.017083
12.183770 0.016122 0.016319
12.287890 0.014828 0.015012
12.392020 0.017320 0.017874
12.496260 0.016499 0.016708
12.600390 0.019643 0.019910
12.704520 0.016084 0.016355
12.808640 0.018520 0.018733
12.912790 0.015408 0.015597
13.016890 0.013355 0.013581
13.121140 0.020798 0.022187
13.225270 0.020466 0.020696
13.329390 0.015117 0.015308
13.433520 0.014673 0.014897
13.537640 0.015391 0.015679
13.641770 0.016674 0.016940
13.745910 0.017310 0.017520
13.850020 0.014849 0.015050
13.954150 0.014883 0.015081
14.058400 0.016129 0.016330
14.162520 0.015149 0.015351
14.266640 0.014669 0.014856
14.370770 0.020377 0.020636
14.474890 0.018210 0.018428
14.579010 0.018715 0.018926
14.683140 0.015666 0.015870
14.787290 0.013437 0.013659
14.891390 0.015529 0.015758
14.995520 0.015299 0.015497
15.099640 0.014490 0.014681
15.203790 0.015950 0.016213
15.308020 0.013945 0.014138
15.412140 0.016544 0.016781
15.516270 0.016328 0.016524
15.620390 0.015500 0.015694
15.724520 0.021498 0.021736
15.828640 0.020061 0.020261
15.932650 0.017426 0.017615
16.036770 0.015828 0.016026
16.140900 0.016624 0.016819
16.245020 0.017790 0.017993
16.349140 0.014861 0.015059
16.453270 0.020361 0.020634
16.557390 0.018148 0.018369
16.661520 0.016197 0.016447
16.765650 0.017050 0.017244
16.869650 0.015646 0.015837
16.973770 0.018700 0.018923
17.077890 0.018027 0.018224
17.182030 0.020137 0.020397
17.286140 0.016922 0.017149
17.390270 0.019204 0.019409
17.494400 0.016886 0.017076
17.598420 0.017062 0.017433
